group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,fit_density_mg_ml,rho_dense_fit_mg_ml,rho_dilute_fit_mg_ml,deltaG_fit_kj_mol
$\text{IDP}_{50}$-Mem,3,1.0719577121734618,541.6444745880317,36.05727796800794,506.58174587616793,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,4,1.3782313442230225,538.3328170625043,32.93809305167336,506.0026769569347,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,5,1.6845049762725828,533.449346030308,28.51813397973141,505.27063198652104,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,6,1.990778608322143,529.2402078811459,23.392608935438936,504.3458355333564,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,7,2.297052240371704,524.2488541510297,19.02171339203391,503.1785510435097,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,8,2.6033258724212645,521.3453962172675,15.593372653291405,501.7068133160239,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,9,2.909599504470825,517.996785708405,13.551834062471485,499.85378100333276,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,10,3.2158731365203854,513.6416114567601,11.93355298424981,497.52473097500035,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,11,3.5221467685699457,508.49438147891254,10.590054010794342,494.60378373013975,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,12,3.828420400619507,501.3369431833141,8.907047826095633,490.950559363209,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,13,4.134694032669067,493.46995477345064,7.835023711560279,486.3971328868084,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,14,4.440967664718627,484.24845096408944,5.838038150180069,480.74590096993575,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,15,4.7472412967681885,473.13851087773924,3.74160350997688,473.76929522487006,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,16,5.053514928817749,459.8067579923298,2.026486670689295,465.21266132510823,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,17,5.35978856086731,443.8587870100494,0.8209327902370612,454.8020002444786,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,18,5.66606219291687,425.4122528294194,0.6282188002618481,442.25848834088254,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,19,5.9723358249664305,405.6398391133475,1.6792635498679622,427.3215013056357,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,20,6.278609457015991,383.72380543414573,2.7562254483273563,409.78091657017626,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,21,6.584883089065551,359.8967957684167,3.854397702182423,389.51743036047696,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,22,6.891156721115112,334.2401980496982,4.671480347054047,366.5464358301147,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,23,7.1974303531646715,307.3139579666583,5.132594009414386,341.0572260658184,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,24,7.503703985214233,279.98599740249875,5.143318042628126,313.4363440541018,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,25,7.809977617263795,252.96941766632744,4.9914792286639384,284.26387002129,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,26,8.116251249313354,226.4316565381844,4.660040684536717,254.2759846051807,508.7586248925853,0.3630978090974735,-18.67297449750039
$\text{IDP}_{50}$-Mem,27,8.422524881362914,200.655782475596,4.342479732175702,224.29602640988514,508.7586248925853,0.3630978090974735,-18.67297449750039
