group,r_nm,fit_density_mg_ml
$\text{IDP}_{50}$,5.160320641282565,482.76187168179376
$\text{IDP}_{50}$,5.210420841683367,481.12403430413883
$\text{IDP}_{50}$,5.260521042084169,479.4270760215305
$\text{IDP}_{50}$,5.31062124248497,477.66934564162466
$\text{IDP}_{50}$,5.3607214428857715,475.849184721438
$\text{IDP}_{50}$,5.410821643286574,473.9649311041614
$\text{IDP}_{50}$,5.460921843687375,472.0149227576135
$\text{IDP}_{50}$,5.511022044088176,469.9975019229047
$\text{IDP}_{50}$,5.5611222444889785,467.9110195806358
$\text{IDP}_{50}$,5.61122244488978,465.753840240484
$\text{IDP}_{50}$,5.661322645290581,463.5243470583332
$\text{IDP}_{50}$,5.711422845691383,461.2209472831604
$\text{IDP}_{50}$,5.761523046092185,458.84207803369634
$\text{IDP}_{50}$,5.811623246492986,456.3862124024174
$\text{IDP}_{50}$,5.861723446893787,453.8518658817086
$\text{IDP}_{50}$,5.9118236472945895,451.237603104045
$\text{IDP}_{50}$,5.961923847695391,448.54204488478734
$\text{IDP}_{50}$,6.012024048096192,445.7638755526765
$\text{IDP}_{50}$,6.062124248496994,442.9018505493556
$\text{IDP}_{50}$,6.112224448897796,439.9548042752657
$\text{IDP}_{50}$,6.162324649298597,436.92165815506934
$\text{IDP}_{50}$,6.212424849699399,433.8014288913957
$\text{IDP}_{50}$,6.2625250501002006,430.5932368711967
$\text{IDP}_{50}$,6.312625250501002,427.2963146844078
$\text{IDP}_{50}$,6.362725450901804,423.91001570996747
$\text{IDP}_{50}$,6.412825651302605,420.4338227196248
$\text{IDP}_{50}$,6.462925851703407,416.86735644541966
$\text{IDP}_{50}$,6.513026052104209,413.21038405232997
$\text{IDP}_{50}$,6.56312625250501,409.46282745342126
$\text{IDP}_{50}$,6.613226452905812,405.6247714009878
$\text{IDP}_{50}$,6.663326653306614,401.6964712837384
$\text{IDP}_{50}$,6.713426853707415,397.67836055713167
$\text{IDP}_{50}$,6.763527054108216,393.5710577316112
$\text{IDP}_{50}$,6.813627254509019,389.3753728418153
$\text{IDP}_{50}$,6.86372745490982,385.0923133189295
$\text{IDP}_{50}$,6.913827655310621,380.7230891883001
$\text{IDP}_{50}$,6.9639278557114235,376.26911751531475
$\text{IDP}_{50}$,7.014028056112225,371.7320260244395
$\text{IDP}_{50}$,7.064128256513026,367.1136558192507
$\text{IDP}_{50}$,7.114228456913827,362.41606313534663
$\text{IDP}_{50}$,7.16432865731463,357.64152006319796
$\text{IDP}_{50}$,7.214428857715431,352.79251418429834
$\text{IDP}_{50}$,7.264529058116232,347.8717470713962
$\text{IDP}_{50}$,7.3146292585170345,342.88213161208637
$\text{IDP}_{50}$,7.364729458917836,337.8267881245466
$\text{IDP}_{50}$,7.414829659318637,332.70903924464557
$\text{IDP}_{50}$,7.464929859719439,327.53240357490046
$\text{IDP}_{50}$,7.515030060120241,322.30058809770657
$\text{IDP}_{50}$,7.565130260521042,317.0174793677208
$\text{IDP}_{50}$,7.615230460921844,311.6871335111106
$\text{IDP}_{50}$,7.6653306613226455,306.31376507235734
$\text{IDP}_{50}$,7.715430861723447,300.9017347622483
$\text{IDP}_{50}$,7.765531062124249,295.4555361733808
$\text{IDP}_{50}$,7.81563126252505,289.9797815417215
$\text{IDP}_{50}$,7.865731462925852,284.47918664429716
$\text{IDP}_{50}$,7.915831663326654,278.9585549337372
$\text{IDP}_{50}$,7.965931863727455,273.4227610199375
$\text{IDP}_{50}$,8.016032064128257,267.8767336173921
$\text{IDP}_{50}$,8.066132264529058,262.3254380835944
$\text{IDP}_{50}$,8.11623246492986,256.7738586791864
$\text{IDP}_{50}$,8.166332665330662,251.22698068416108
$\text{IDP}_{50}$,8.216432865731463,245.68977250629322
$\text{IDP}_{50}$,8.266533066132265,240.16716791807954
$\text{IDP}_{50}$,8.316633266533067,234.66404855679392
$\text{IDP}_{50}$,8.366733466933868,229.1852268188348
$\text{IDP}_{50}$,8.41683366733467,223.73542927444603
$\text{IDP}_{50}$,8.466933867735472,218.31928072221754
$\text{IDP}_{50}$,8.517034068136272,212.94128899464016
$\text{IDP}_{50}$,8.567134268537075,207.60583061658207
$\text{IDP}_{50}$,8.617234468937877,202.31713740802567
$\text{IDP}_{50}$,8.667334669338677,197.07928411095583
$\text{IDP}_{50}$,8.71743486973948,191.89617710814326
$\text{IDP}_{50}$,8.767535070140282,186.7715442889192
$\text{IDP}_{50}$,8.817635270541082,181.70892610410925
$\text{IDP}_{50}$,8.867735470941884,176.71166783930835
$\text{IDP}_{50}$,8.917835671342687,171.78291312282988
$\text{IDP}_{50}$,8.967935871743487,166.92559867214055
$\text{IDP}_{50}$,9.01803607214429,162.14245027059005
$\text{IDP}_{50}$,9.06813627254509,157.43597995490398
$\text{IDP}_{50}$,9.118236472945892,152.80848438336625
$\text{IDP}_{50}$,9.168336673346694,148.26204434500585
$\text{IDP}_{50}$,9.218436873747494,143.79852536147837
$\text{IDP}_{50}$,9.268537074148297,139.41957932579555
$\text{IDP}_{50}$,9.318637274549099,135.1266471156228
$\text{IDP}_{50}$,9.3687374749499,130.92096211355846
$\text{IDP}_{50}$,9.418837675350701,126.80355456263968
$\text{IDP}_{50}$,9.468937875751504,122.77525668224686
$\text{IDP}_{50}$,9.519038076152304,118.83670846757258
$\text{IDP}_{50}$,9.569138276553106,114.98836409482644
$\text{IDP}_{50}$,9.619238476953909,111.23049885429637
