group,bin,r_nm,mean_density_mg_ml,sd_density_mg_ml,curve_density_mg_ml
$\text{Hel}_{50}$,44,13.160825262069702,7.793277270248477,0.30198162363416325,7.846484995129458
$\text{Hel}_{50}$,45,13.456574144363401,6.161845728696115,0.35541212989968224,6.320442413990008
$\text{Hel}_{50}$,46,13.752323026657104,4.874370786883293,0.38651510337005673,5.0970419212029014
$\text{Hel}_{50}$,47,14.048071908950806,3.870125753304239,0.3925549526541187,4.117138481675397
$\text{Hel}_{50}$,48,14.343820791244505,3.0879465603057343,0.3833790858122342,3.3328287272415764
$\text{Hel}_{50}$,49,14.639569673538208,2.498741481009193,0.3695881208349045,2.705430087159016
$\text{Hel}_{50}$,50,14.935318555831907,2.0366835688662857,0.3477188665521892,2.203780069608001
$\text{Hel}_{50}$,51,15.23106743812561,1.6797258047326962,0.3445656741317038,1.8028217676400118
$\text{Hel}_{50}$,52,15.52681632041931,1.3927523181628156,0.3342779449951344,1.482437933820961
$\text{Hel}_{50}$,53,15.822565202713012,1.1669963886018808,0.31375743976613585,1.2264965577687121
$\text{Hel}_{50}$,54,16.118314085006713,0.9878008014443478,0.29723407508950894,1.0220737546258647
$\text{Hel}_{50}$,55,16.414062967300413,0.8466117501506618,0.2743268312427531,0.858823665523289
$\text{Hel}_{50}$,56,16.709811849594114,0.734776660357677,0.25510357840061426,0.7284692326578011
$\text{Hel}_{50}$,57,17.00556073188782,0.6449680820001854,0.23674847073544886,0.6243917232129661
$\text{Hel}_{50}$,58,17.301309614181516,0.5683895061261696,0.2136727630006365,0.5413005272567375
$\text{Hel}_{50}$,59,17.59705849647522,0.5038893045757583,0.19408153579350151,0.47496795962581473
$\text{Hel}_{50}$,60,17.892807378768918,0.4515629984771139,0.18107672606703637,0.42201654157076973
$\text{Hel}_{50}$,61,18.188556261062622,0.40835950533571014,0.16941449416992496,0.37974855035514565
$\text{Hel}_{50}$,62,18.484305143356323,0.37124275761093894,0.15276929655325375,0.3460095483035275
$\text{Hel}_{50}$,63,18.780054025650024,0.3416285308578269,0.13965890252843674,0.31907918766250987
$\text{Hel}_{50}$,64,19.075802907943725,0.31943623574640495,0.13013624678890967,0.2975838844675991
$\text{Hel}_{50}$,65,19.371551790237426,0.29674308203098326,0.12010056215078606,0.2804270100599524
$\text{Hel}_{50}$,66,19.667300672531127,0.2804430428362478,0.11116779754335133,0.266733104318746
$\text{Hel}_{50}$,67,19.963049554824828,0.26468766325014875,0.09938642566628601,0.2558033057451894
$\text{Hel}_{50}$,68,20.25879843711853,0.252919116867586,0.09074943227968123,0.24707975040865904
