group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,symmetric_window,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size,banded_triplet_definition
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,29000.0,0.00019927281797093186,0.0001364971306008124,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,30000.0,0.00019927281797093186,0.0001364971306008124,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,31000.0,0.00013274130071093195,8.89834576443558e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,32000.0,0.00013274130071093195,8.89834576443558e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,33000.0,0.0001111928274202646,5.8509768882909535e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,34000.0,6.653151725999988e-05,5.2850117631521417e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,35000.0,6.653151725999988e-05,5.2850117631521417e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,36000.0,6.653151725999988e-05,5.2850117631521417e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,37000.0,6.653151725999988e-05,5.2850117631521417e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,38000.0,6.653151725999988e-05,5.2850117631521417e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,39000.0,6.653151725999988e-05,5.2850117631521417e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,40000.0,6.653151725999988e-05,5.2850117631521417e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,41000.0,4.309694658133471e-05,6.0948286352192344e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,42000.0,4.309694658133471e-05,6.0948286352192344e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,43000.0,4.309694658133471e-05,6.0948286352192344e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,44000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,45000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
G3_Onmem_plus,$\mathrm{IDP}_{50}$-Mem,NAC_triplet_symmetric_BB_contact_survival,triplet_symmetric_nac_bb,3 consecutive banded symmetric NAC BB,chain_pair,last_40,largest_cluster,46000.0,2.1548473290667353e-05,3.0474143176096172e-05,1054.4618482547528,3193.0539368762884,1904.5421123950418,0.8,8.0,8.0,100.0,61,95,3,partner_consecutive_v2
