plain_group,group,replicate,threshold,fpt_us,source_path
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 1,50,5.02,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 2,10,0.368,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re1.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 2,15,1.224,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re1.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 2,20,1.463,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re1.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 2,25,1.744,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re1.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 2,30,2.181,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re1.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 2,35,2.48,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re1.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 2,40,7.108,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re1.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 2,45,7.438,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re1.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 2,50,15.034,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re1.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 3,10,0.513,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re2.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 3,15,0.75,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re2.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 3,20,0.876,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re2.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 3,25,1.033,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re2.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 3,30,1.24,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re2.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 3,35,4.726,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re2.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 3,40,5.045,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re2.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 3,45,7.14,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re2.txt
Hel50_no_membrane,$\mathrm{Hel}_{50}$,Run 3,50,18.328,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/alhx_700_re2.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 1,10,0.241,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL1.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 1,15,1.303,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL1.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 1,20,5.39,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL1.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 1,25,5.539,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL1.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 1,30,5.66,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL1.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 1,35,5.766,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL1.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 1,40,5.904,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL1.txt
Hel50_membrane,$\mathrm{Hel}_{50}^{\mathrm{mem}}$,Run 1,45,nan,/data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/Analysis/largclus/onmem_alhx_700_WALL1.txt
