# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_700_re1/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.1295+-0.0340
10286.0000 0.1656 76.8432 48.0000 30.1312 38.1886 59.4863
10287.0000 0.1586 76.6247 48.0000 29.9871 38.6581 58.9718
10288.0000 0.1607 76.6365 48.0000 30.0012 38.5007 59.0828
10289.0000 0.1649 76.9724 48.0000 30.1490 38.3400 59.5469
10290.0000 0.1658 76.9268 48.0000 29.8422 38.5421 59.5121
10291.0000 0.1666 77.0222 48.0000 29.9303 38.4780 59.6326
10292.0000 0.1746 77.1947 48.0000 29.7354 38.2425 60.1027
10293.0000 0.1718 76.9258 48.0000 29.7901 38.1561 59.7849
10294.0000 0.1781 77.3052 48.0000 29.8830 37.9440 60.3602
10295.0000 0.1747 77.3355 48.0000 29.9696 38.1273 60.2404
10296.0000 0.1737 77.2104 48.0000 30.2533 37.8085 60.1390
10297.0000 0.1711 77.0228 48.0000 30.2927 37.7922 59.8884
10298.0000 0.1724 77.0319 48.0000 30.4870 37.5166 59.9747
10299.0000 0.1675 77.0659 48.0000 30.7596 37.6222 59.8128
10300.0000 0.1722 77.4225 48.0000 30.7539 37.6042 60.2858
10301.0000 0.1784 77.6542 48.0000 30.4935 37.6218 60.7036
10302.0000 0.1796 77.9667 48.0000 30.6065 37.7019 60.9969
10303.0000 0.1816 77.9729 48.0000 30.8233 37.3483 61.1130
10304.0000 0.1772 77.8129 48.0000 30.8108 37.5336 60.8011
10305.0000 0.1736 77.9303 48.0000 31.0076 37.7044 60.7456
10306.0000 0.1772 78.0253 48.0000 30.7875 37.7443 60.9545
10307.0000 0.1733 78.1327 48.0000 30.8457 38.0586 60.8671
10308.0000 0.1740 78.2630 48.0000 30.6576 38.3114 60.9708
10309.0000 0.1733 78.0196 48.0000 30.5608 38.2420 60.7507
10310.0000 0.1759 78.2392 48.0000 30.7077 38.1030 61.0457
10311.0000 0.1824 78.5878 48.0000 30.8034 37.8486 61.6010
10312.0000 0.1738 78.5398 48.0000 30.9132 38.3159 61.1944
10313.0000 0.1800 78.5240 48.0000 30.6540 38.1089 61.4334
10314.0000 0.1757 78.2951 48.0000 30.5467 38.3211 61.0616
10315.0000 0.1735 78.6037 48.0000 30.8532 38.4549 61.2197
10316.0000 0.1700 78.5147 48.0000 30.9080 38.5756 61.0015
10317.0000 0.1709 78.8419 48.0000 31.1434 38.5648 61.3098
10318.0000 0.1514 82.6795 49.0000 31.8403 42.8320 63.1468
10319.0000 0.1760 78.9524 48.0000 31.0968 38.3330 61.6203
10320.0000 0.1738 78.8169 48.0000 30.9952 38.4740 61.4098
10321.0000 0.1782 79.2071 48.0000 31.0769 38.4176 61.9038
10322.0000 0.1726 78.6991 48.0000 31.2414 38.2165 61.2946
10323.0000 0.1604 78.2751 48.0000 31.4524 38.5297 60.4417
10324.0000 0.1595 78.2447 48.0000 31.4877 38.5331 60.3817
10325.0000 0.1529 78.1119 48.0000 31.6814 38.7207 59.9872
10326.0000 0.1548 77.9372 48.0000 31.4624 38.6432 59.9252
10327.0000 0.1493 77.8582 48.0000 31.5593 38.8903 59.6109
10328.0000 0.1536 77.8329 48.0000 31.5077 38.5913 59.7991
10329.0000 0.1509 78.0135 48.0000 31.4828 38.9842 59.7927
10330.0000 0.1491 78.1994 48.0000 31.7461 39.0250 59.8697
10331.0000 0.1511 78.3473 48.0000 32.0754 38.6770 60.1129
10332.0000 0.1469 78.0082 48.0000 32.0640 38.6974 59.6631
10333.0000 0.1530 78.2241 48.0000 32.0840 38.4054 60.1220
10334.0000 0.1503 78.2147 48.0000 32.1517 38.5408 59.9867
10335.0000 0.1474 78.4012 48.0000 32.5265 38.5475 60.0238
10336.0000 0.1463 78.6375 48.0000 32.0886 39.2998 60.0808
10337.0000 0.1499 78.5167 48.0000 31.9311 39.0676 60.1581
10338.0000 0.1518 78.6342 48.0000 31.9055 39.0560 60.3325
10339.0000 0.1554 79.0534 48.0000 31.9504 39.1081 60.8208
10340.0000 0.1582 79.2697 48.0000 31.9428 39.0984 61.1118
10341.0000 0.1567 79.1477 48.0000 31.7541 39.2909 60.9283
10342.0000 0.1517 79.0999 48.0000 31.8639 39.5218 60.6590
10343.0000 0.1552 79.1208 48.0000 31.8089 39.3258 60.8423
10344.0000 0.1668 79.3608 48.0000 31.6887 38.7879 61.5585
10345.0000 0.1653 79.4217 48.0000 31.3836 39.2576 61.4957
10346.0000 0.1653 79.3594 48.0000 31.4283 39.1544 61.4582
10347.0000 0.1682 79.4878 48.0000 31.3957 39.0838 61.6853
10348.0000 0.1627 79.3564 48.0000 31.1994 39.5767 61.3003
10349.0000 0.1667 79.4311 48.0000 31.3387 39.2021 61.5660
10350.0000 0.1645 79.1579 48.0000 31.5065 38.9548 61.2848
10351.0000 0.1711 79.2806 48.0000 31.3913 38.6881 61.6704
10352.0000 0.1698 79.1423 48.0000 31.5741 38.4800 61.5294
10353.0000 0.1684 79.1005 48.0000 31.4824 38.6408 61.4218
10354.0000 0.1586 78.8032 48.0000 31.7873 38.8017 60.7779
10355.0000 0.1618 78.8980 48.0000 31.6601 38.7793 60.9811
10356.0000 0.1699 79.0641 48.0000 31.5279 38.4492 61.4719
10357.0000 0.1693 79.0303 48.0000 31.4907 38.5044 61.4128
10358.0000 0.1739 79.0671 48.0000 31.4342 38.2552 61.6444
10359.0000 0.1711 78.9516 48.0000 31.5499 38.2419 61.4453
10360.0000 0.1732 79.0844 48.0000 31.6883 38.0666 61.6532
10361.0000 0.1756 79.3398 48.0000 31.6479 38.1552 61.9468
10362.0000 0.1797 79.5310 48.0000 31.6886 37.9915 62.2709
10363.0000 0.1832 79.5220 48.0000 31.6308 37.7830 62.4154
10364.0000 0.1793 79.1176 48.0000 31.6410 37.7012 61.9440
10365.0000 0.1760 79.0330 48.0000 31.9355 37.5787 61.7591
10366.0000 0.1759 79.1843 48.0000 31.9554 37.6995 61.8688
10367.0000 0.1690 78.9569 48.0000 31.9984 37.9600 61.3949
10368.0000 0.1777 79.1618 48.0000 31.6551 37.8460 61.9049
10369.0000 0.1802 79.1752 48.0000 31.6861 37.6482 62.0268
10370.0000 0.1748 78.8012 48.0000 31.4068 37.9808 61.4874
