# Time(ns) Kappa2 Rg(A) Size L_minor(A) L_mid(A) L_major(A)
# Generated from /data/jychen/MD_projects/curvature_phase/Alpha-Synuclein/martini3001/Martini_alhx/mdrun/M3IDP/W_cluster/alhx_0/TR_Mdvwhole/clus_centered.xtc
# AvgKappa2=0.0447+-0.0314
10208.0000 0.0160 72.3995 50.0000 37.0214 41.6596 46.2122
10209.0000 0.0158 72.4525 50.0000 36.8680 42.0769 46.0396
10210.0000 0.0154 72.3963 50.0000 37.1085 41.6780 46.1209
10211.0000 0.0175 72.7109 50.0000 36.8974 41.9074 46.5749
10212.0000 0.0224 72.8115 50.0000 36.5439 41.4457 47.4164
10213.0000 0.0313 73.2779 50.0000 35.5430 41.8151 48.5577
10214.0000 0.0297 73.2544 50.0000 35.5431 42.0960 48.2786
10215.0000 0.0282 73.5423 50.0000 35.6373 42.6576 48.1538
10216.0000 0.0318 73.8445 50.0000 35.4224 42.6602 48.7686
10217.0000 0.0296 73.6917 50.0000 35.6461 42.5393 48.4792
10218.0000 0.0342 73.7892 50.0000 35.6021 41.8541 49.2500
10219.0000 0.0312 73.4464 50.0000 35.8978 41.5280 48.7970
10220.0000 0.0291 73.4184 50.0000 35.7714 42.0799 48.3730
10221.0000 0.0342 73.4388 50.0000 34.9477 42.4035 48.7222
10222.0000 0.0336 73.6028 50.0000 35.3531 42.1050 48.9357
10223.0000 0.0282 73.3152 50.0000 35.5622 42.4671 48.0311
10224.0000 0.0315 73.1980 50.0000 35.1798 42.2397 48.3336
10225.0000 0.0308 73.1833 50.0000 35.1021 42.5058 48.1342
10226.0000 0.0283 73.2930 50.0000 35.4798 42.5534 47.9817
10227.0000 0.0277 72.9764 50.0000 35.4839 42.2379 47.7745
10228.0000 0.0213 72.8455 50.0000 35.9692 42.7971 46.7021
10229.0000 0.0180 72.9555 50.0000 36.2461 43.5905 45.9194
10230.0000 0.0162 73.1742 50.0000 36.8018 43.2704 46.1278
10231.0000 0.0188 73.1688 50.0000 36.3656 43.3274 46.4106
10232.0000 0.0140 73.0351 50.0000 37.0065 43.5537 45.4723
10233.0000 0.0138 72.9987 50.0000 36.9977 43.6166 45.3604
10234.0000 0.0145 72.7601 50.0000 36.6659 43.7840 45.0844
10235.0000 0.0129 72.7467 50.0000 37.1213 43.1861 45.2665
10236.0000 0.0093 72.3330 50.0000 37.5658 43.1948 44.2164
10237.0000 0.0092 72.5852 50.0000 37.7325 43.3402 44.3453
10238.0000 0.0085 72.7667 50.0000 38.0041 43.3300 44.4206
10239.0000 0.0112 72.8059 50.0000 37.4445 43.3534 44.9343
10240.0000 0.0120 73.0740 50.0000 37.5942 42.9952 45.5840
10241.0000 0.0129 73.1318 50.0000 37.2951 43.4931 45.4499
